[9/7/23, 8:51:45 AM] Yara: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
‎[9/7/23, 8:51:45 AM] Yara: ‎image omitted
[7/13/24, 9:42:55 PM] Ismael: y casi me moría de miedo
[7/13/24, 9:42:56 PM] Ismael: hey
[7/13/24, 9:43:02 PM] Ismael: vamos a jugar  básquet
[7/13/24, 9:43:04 PM] Ismael: si o que
[7/13/24, 9:43:07 PM] Ismael: Ya
[7/13/24, 9:43:13 PM] Ismael: ps está bien yarilin
[7/13/24, 9:43:37 PM] Yara: Qué es lo de arriba?
[7/13/24, 9:43:44 PM] Ismael: Cuál
[7/13/24, 9:44:18 PM] Ismael: Yara contéstame rápido pls
[7/13/24, 9:44:27 PM] Ismael: ahhh
[7/13/24, 9:44:30 PM] Ismael: esto
[7/13/24, 9:44:33 PM] Yara: Tienes un problema con eso
[7/13/24, 9:44:37 PM] Yara: Pero exagerado
‎[7/13/24, 9:44:41 PM] Ismael: ‎sticker omitted
[7/13/24, 9:44:55 PM] Ismael: discúlpame yara ‎<This message was edited>
[7/13/24, 9:44:59 PM] Ismael: no se
[7/13/24, 9:45:04 PM] Ismael: me da amsiedad
[7/13/24, 9:45:52 PM] Ismael: yara ps es lo que siento
[7/13/24, 9:45:57 PM] Ismael: igual no lo tomes a malas
[7/13/24, 9:46:05 PM] Ismael: desinterés hay de muchas maneras
[7/13/24, 9:46:07 PM] Ismael: ósea
[7/13/24, 9:46:16 PM] Ismael: siento que no tienes interés muchas veces en hablar conmigo
[7/13/24, 9:46:18 PM] Ismael: y así
[7/13/24, 9:46:30 PM] Ismael: mi entiendes mi vidita?
‎[7/13/24, 9:47:18 PM] Ismael: ‎sticker omitted
[7/13/24, 9:47:33 PM] Yara: Me refería a tu texto
[7/13/24, 9:47:40 PM] Yara: .
[7/13/24, 9:47:45 PM] Ismael: ah
[7/13/24, 9:47:46 PM] Ismael: ps si
[7/13/24, 9:47:58 PM] Ismael: como que que es
[7/13/24, 9:48:13 PM] Yara: .
[7/13/24, 9:48:25 PM] Ismael: aaa
[7/13/24, 9:48:27 PM] Ismael: un primo
[7/13/24, 9:48:32 PM] Ismael: me iba a echar un grillo
[7/13/24, 9:48:40 PM] Ismael: como tú
[7/13/24, 9:49:13 PM] Yara: Aaaa
[7/13/24, 9:49:21 PM] Yara: Muy mal
[7/13/24, 9:49:37 PM] Ismael: Si
[7/13/24, 9:49:41 PM] Ismael: Y todo lo demás que te puse?
[7/13/24, 9:49:49 PM] Ismael: no lo quieres contestar
[7/13/24, 9:50:21 PM] Yara: El que
[7/13/24, 9:51:18 PM] Ismael: Lee
[7/13/24, 9:53:16 PM] Yara: Esto?
[7/13/24, 9:55:14 PM] Ismael: lees lo que te pongo?
[7/13/24, 9:55:20 PM] Ismael: .
[7/13/24, 9:55:35 PM] Ismael: .
[7/13/24, 9:57:25 PM] Ismael: ya la neta
[7/13/24, 9:57:32 PM] Ismael: que es eso de andar pidiéndote que me contestes
[7/13/24, 9:59:17 PM] Yara: Eso digo yo
[7/13/24, 9:59:44 PM] Ismael: ???
[7/13/24, 9:59:48 PM] Ismael: todo el rato te contesto
[7/13/24, 10:01:01 PM] Yara: Te estoy dando la razón
[7/13/24, 10:01:47 PM] Ismael: bueno pues
[7/14/24, 2:49:00 AM] Ismael: https://youtu.be/6GkyiRDg_EE?si=Afg9LS9clIG8CTsK
[7/14/24, 3:41:45 AM] Yara: QUE ES ESO JAJAJAJ
[7/14/24, 3:42:03 AM] Ismael: COMO POR QUÉ AGARRASTE EL CEL MI AMOR
‎[7/14/24, 3:42:16 AM] Yara: ‎sticker omitted
[7/14/24, 3:42:17 AM] Ismael: ÓSEA QUE SI PODÍAS ENVIARME EL MENSAJE DE BURNSD NOCHES
[7/14/24, 3:42:31 AM] Yara: Dije que ya que me fuera a dormir
[7/14/24, 3:42:32 AM] Ismael: SOLO NO QUERÍAS
[7/14/24, 3:42:35 AM] Yara: Tontito
[7/14/24, 3:42:40 AM] Ismael: Ño
[7/14/24, 3:42:46 AM] Ismael: dime ya para dormir agusto
[7/14/24, 3:42:47 AM] Yara: Te lo repetí dos veces
[7/14/24, 3:42:50 AM] Yara: No
[7/14/24, 3:42:54 AM] Ismael: Andaleeeeee
‎[7/14/24, 3:42:56 AM] Yara: ‎sticker omitted
[7/14/24, 3:43:00 AM] Yara: No
‎[7/14/24, 3:43:04 AM] Yara: ‎sticker omitted
[7/14/24, 3:43:09 AM] Ismael: Yara
[7/14/24, 3:43:15 AM] Ismael: Que te cuesta decirme buenas noches
[7/14/24, 3:43:17 AM] Ismael: Bonito
[7/14/24, 3:43:20 AM] Ismael: Te lo juro
[7/14/24, 3:43:24 AM] Ismael: Duermo mejor
‎[7/14/24, 3:43:26 AM] Ismael: ‎sticker omitted
[7/14/24, 3:43:30 AM] Yara: Buenas noches ismaelin
‎[7/14/24, 3:43:33 AM] Yara: ‎sticker omitted
[7/14/24, 3:43:41 AM] Ismael: Yaaaaaraaaaa
[7/14/24, 3:43:45 AM] Yara: Te amo
[7/14/24, 3:43:49 AM] Yara: Queeeee
‎[7/14/24, 3:43:52 AM] Yara: ‎sticker omitted
[7/14/24, 3:43:55 AM] Ismael: Más más
[7/14/24, 3:44:08 AM] Ismael: Y en un mensaje
[7/14/24, 3:44:15 AM] Ismael: Que se vea con mucho amorcito
[7/14/24, 3:44:16 AM] Yara: Ahorita no
‎[7/14/24, 3:44:17 AM] Yara: ‎sticker omitted
[7/14/24, 3:44:22 AM] Yara: Más tarde
[7/14/24, 3:44:23 AM] Ismael: Está bien
[7/14/24, 3:44:31 AM] Ismael: Buenas noches mua
[7/14/24, 3:44:42 AM] Yara: ‎This message was deleted.
[7/14/24, 3:44:47 AM] Yara: QIEEEEE
[7/14/24, 3:44:50 AM] Yara: QUEE
[7/14/24, 3:44:52 AM] Ismael: Que
[7/14/24, 3:44:54 AM] Yara: JAJAJAJJA
[7/14/24, 3:44:59 AM] Yara: buenas noches
[7/14/24, 3:45:07 AM] Yara: Watafak
[7/14/24, 3:45:32 AM] Yara: Desde que escribo jalando las teclitas batallo mas
[7/14/24, 3:45:41 AM] Yara: Pero eso lo saque por ti
[7/14/24, 3:45:44 AM] Ismael: Está más agusto yarilin
[7/14/24, 3:45:49 AM] Ismael: Así escribo yo
[7/14/24, 3:45:59 AM] Yara: Por eso escribo así yo
[7/14/24, 3:46:04 AM] Ismael: Bueno
‎[7/14/24, 3:46:04 AM] Yara: ‎sticker omitted
[7/14/24, 3:46:15 AM] Ismael: Espero tu mensaje más tarde como dijiste
[7/14/24, 3:46:20 AM] Ismael: Para leerlo en la mañana
[7/14/24, 3:46:20 AM] Yara: Al rato
[7/14/24, 3:46:22 AM] Ismael: Va?
[7/14/24, 3:46:26 AM] Yara: Bai
[7/14/24, 3:46:30 AM] Ismael: VA?
[7/14/24, 3:46:36 AM] Yara: Si
[7/14/24, 3:46:40 AM] Ismael: oki
[7/14/24, 3:46:56 AM] Ismael: si no me lo mandas me voy a sentir triste
[7/14/24, 3:47:06 AM] Ismael: descansa te amo mucho mucho
[7/14/24, 3:47:09 AM] Yara: Ok
[7/14/24, 3:47:12 AM] Yara: Igual
[7/14/24, 3:47:15 AM] Yara: Buenas nochis
[7/14/24, 3:47:21 AM] Ismael: Buenas nochis
[7/14/24, 3:47:40 AM] Yara: Copión
[7/14/24, 3:47:52 AM] Ismael: cállese
[7/14/24, 3:48:00 AM] Yara: Vete a dormir
[7/14/24, 3:48:00 AM] Ismael: buenas noches mi amor
[7/14/24, 3:48:22 AM] Ismael: me estoy poniendo las cremitas de la china
‎[7/14/24, 3:48:24 AM] Ismael: ‎sticker omitted
[7/14/24, 3:48:33 AM] Ismael: Me esperas?
[7/14/24, 3:48:36 AM] Yara: Muy bien
[7/14/24, 3:48:46 AM] Yara: Pues ya buenas nochis
[7/14/24, 3:48:54 AM] Ismael: Ok
[7/14/24, 3:49:06 AM] Yara: Que fue
[7/14/24, 3:49:16 AM] Ismael: Nada
[7/14/24, 3:49:21 AM] Ismael: Buenas noches
[7/14/24, 3:49:21 AM] Yara: Ok
[7/14/24, 3:49:30 AM] Ismael: ahí estaaaaa
[7/14/24, 3:49:35 AM] Ismael: Así me pones tú de repente
[7/14/24, 3:49:41 AM] Ismael: ratatopilla
[7/14/24, 3:49:44 AM] Yara: Yo que
[7/14/24, 3:49:49 AM] Ismael: ps si
[7/14/24, 3:49:53 AM] Ismael: de una
[7/14/24, 3:49:54 AM] Ismael: ok
[7/14/24, 3:49:57 AM] Yara: Es pregunta
[7/14/24, 3:49:57 AM] Ismael: Y yo
[7/14/24, 3:50:00 AM] Ismael: Que pasa amor
[7/14/24, 3:50:02 AM] Ismael: Y tu
[7/14/24, 3:50:04 AM] Ismael: Nada
[7/14/24, 3:50:14 AM] Yara: Pero que tiene
[7/14/24, 3:50:20 AM] Ismael: No esta good
[7/14/24, 3:50:22 AM] Ismael: está bad
[7/14/24, 3:50:42 AM] Yara: A mi no me molesta que me hables así
[7/14/24, 3:50:52 AM] Ismael: y por qué me pones OK
[7/14/24, 3:51:19 AM] Yara: Es que no sé porqué miras mal mi ok
[7/14/24, 3:51:29 AM] Ismael: Hey hey
[7/14/24, 3:51:31 AM] Ismael: Cállate
[7/14/24, 3:51:34 AM] Ismael: Buenas noches
[7/14/24, 3:51:39 AM] Ismael: Te amo mi vida hermosa ‎<This message was edited>
‎[7/14/24, 3:51:41 AM] Ismael: ‎sticker omitted
[7/14/24, 3:52:00 AM] Yara: Quítame los dos últimos mensajes
‎[7/14/24, 3:52:10 AM] Ismael: ‎sticker omitted
[7/14/24, 3:52:15 AM] Yara: No van con la vibe que no ves
[7/14/24, 3:52:18 AM] Yara: Ashhhh
[7/14/24, 3:52:26 AM] Ismael: me vale ghettos
[7/14/24, 3:52:29 AM] Ismael: Chettos
[7/14/24, 3:52:34 AM] Ismael: yo si estoy en esas vibes
[7/14/24, 3:52:35 AM] Yara: chetos
[7/14/24, 3:52:41 AM] Ismael: Y que
‎[7/14/24, 3:52:43 AM] Ismael: ‎sticker omitted
[7/14/24, 3:52:47 AM] Yara: So
[7/14/24, 3:52:49 AM] Yara: Pa casa
[7/14/24, 3:52:51 AM] Ismael: Ok
[7/14/24, 3:52:59 AM] Yara: Jiji
[7/14/24, 3:53:12 AM] Ismael: A tomar por culo chavala
[7/14/24, 3:53:17 AM] Ismael: a dormir ostia
[7/14/24, 3:53:20 AM] Yara: Jijijiji
[7/14/24, 3:53:23 AM] Yara: Chi
[7/14/24, 3:53:28 AM] Ismael: Mua
[7/14/24, 3:53:31 AM] Ismael: Te amo nalgona
[7/14/24, 3:53:38 AM] Ismael: Beso en la pata
[7/14/24, 3:53:39 AM] Yara: Muaaa
[7/14/24, 3:53:42 AM] Ismael: Deja lo busco
[7/14/24, 3:53:45 AM] Yara: Descansa mi vida
‎[7/14/24, 3:53:53 AM] Ismael: ‎sticker omitted
[7/14/24, 3:53:58 AM] Ismael: Muuua
[7/14/24, 3:54:08 AM] Yara: Gracias
‎[7/14/24, 3:54:09 AM] Yara: ‎sticker omitted
[7/14/24, 3:54:16 AM] Yara: Te amo
[7/14/24, 3:54:56 AM] Ismael: NO QUE NO TENÍAS
[7/14/24, 3:55:07 AM] Yara: QUE NO TENIA
‎[7/14/24, 3:55:10 AM] Yara: ‎sticker omitted
‎[7/14/24, 3:55:29 AM] Ismael: ‎sticker omitted
[7/14/24, 3:55:49 AM] Ismael: PATA
[7/14/24, 3:56:02 AM] Yara: Me la quito y me la pongo
[7/14/24, 3:56:12 AM] Ismael: Woooow
‎[7/14/24, 3:56:13 AM] Yara: ‎sticker omitted
[7/14/24, 3:56:19 AM] Yara: Ya se ya se
[7/14/24, 3:56:23 AM] Yara: Soy muy buena
[7/14/24, 3:56:29 AM] Ismael: Jajaja si
[7/14/24, 3:56:32 AM] Ismael: Medícate va?
[7/14/24, 3:56:33 AM] Ismael: bye
[7/14/24, 3:56:51 AM] Yara: WHAT JAJJAJA
[7/14/24, 3:56:55 AM] Yara: qué bonito
[7/14/24, 3:57:01 AM] Yara: También te amo
[7/14/24, 3:57:17 AM] Ismael: Yo más amor
‎[7/14/24, 3:57:32 AM] Ismael: ‎sticker omitted
[7/14/24, 3:57:41 AM] Ismael: la frente no te la quitas?
‎[7/14/24, 3:57:45 AM] Ismael: ‎sticker omitted
[7/14/24, 3:57:52 AM] Ismael: y la kola
[7/14/24, 3:57:52 AM] Yara: A veces
[7/14/24, 3:57:59 AM] Yara: También
‎[7/14/24, 3:58:01 AM] Yara: ‎sticker omitted
[7/14/24, 3:58:07 AM] Ismael: 😮
[7/14/24, 3:58:10 AM] Ismael: estás curiosa
[7/14/24, 3:58:16 AM] Yara: Okkkk
[7/14/24, 3:58:19 AM] Yara: JAJAJA
[7/14/24, 3:58:25 AM] Ismael: pero a bien yarilin
[7/14/24, 3:58:32 AM] Yara: No
[7/14/24, 3:58:34 AM] Yara: Déjame
‎[7/14/24, 3:58:36 AM] Yara: ‎sticker omitted
[7/14/24, 3:58:44 AM] Ismael: Te amo
[7/14/24, 3:58:54 AM] Ismael: ya me acosté
[7/14/24, 3:58:55 AM] Yara: Yo también te amo
[7/14/24, 3:58:56 AM] Ismael: ahora si
[7/14/24, 3:58:58 AM] Ismael: buenas noches
[7/14/24, 3:59:02 AM] Yara: Apenas
[7/14/24, 3:59:02 AM] Ismael: te amo mucho mi amor
[7/14/24, 3:59:09 AM] Yara: Buenas noches
[7/14/24, 3:59:13 AM] Ismael: eres perfectota para Ismaelin
[7/14/24, 3:59:15 AM] Ismael: Muuuua
[7/14/24, 3:59:17 AM] Ismael: Si
‎[7/14/24, 3:59:23 AM] Ismael: ‎sticker omitted
[7/14/24, 3:59:27 AM] Yara: Muaaaa
‎[7/14/24, 3:59:30 AM] Yara: ‎sticker omitted
[7/14/24, 10:49:01 AM] Ismael: No
[7/14/24, 10:49:03 AM] Ismael: No
[7/14/24, 10:49:05 AM] Yara: Osea estás despierto y ni los buenos días
[7/14/24, 10:49:07 AM] Ismael: Mi mensaje
[7/14/24, 10:49:07 AM] Yara: Cállese
[7/14/24, 10:49:10 AM] Ismael: ????
[7/14/24, 10:49:11 AM] Yara: No me hables
[7/14/24, 10:49:13 AM] Ismael: yara
[7/14/24, 10:49:17 AM] Ismael: me acabo de despertar
[7/14/24, 10:49:27 AM] Ismael: dijiste me ibas a enviar un mensaj
[7/14/24, 10:49:30 AM] Ismael: Ratatopa
[7/14/24, 10:51:22 AM] Ismael: Ósea
[7/14/24, 10:51:28 AM] Ismael: Tú ya estabas despierta
[7/14/24, 10:51:36 AM] Ismael: Y ni habías dado  amor a Panchita
[7/14/24, 10:51:42 AM] Ismael: Y mi me habías dicho buenos días
[7/14/24, 10:51:48 AM] Ismael: Y ni me habías escrito el mensaje
[7/14/24, 10:51:58 AM] Ismael: Y ni nadota
[7/14/24, 10:52:05 AM] Yara: Quien dijo que estaba despierta
[7/14/24, 10:52:20 AM] Ismael: Ps como supiste que le di amor a Panchita
[7/14/24, 10:52:37 AM] Ismael: Y le diste amor a Panchita hace como 3 horas
[7/14/24, 10:54:53 AM] Yara: Me sono toda la noti
[7/14/24, 10:55:08 AM] Yara: Me despierto y me vuelvo a dormir
‎[7/14/24, 10:55:21 AM] Yara: ‎sticker omitted
[7/14/24, 10:55:38 AM] Ismael: Ósea
[7/14/24, 10:55:42 AM] Ismael: Te despertaste
[7/14/24, 10:55:45 AM] Ismael: Agarraste el cel
[7/14/24, 10:55:49 AM] Ismael: Y no me dijiste buenos días
[7/14/24, 10:55:51 AM] Ismael: Ya entendí
[7/14/24, 10:55:53 AM] Ismael: Ya entendí
[7/14/24, 10:56:42 AM] Ismael: ósea
[7/14/24, 10:56:48 AM] Ismael: y todavía no me dices buenos días
[7/14/24, 10:56:51 AM] Ismael: ya entendiiiiiii
[7/14/24, 10:56:57 AM] Ismael: buenos días yarilin
[7/14/24, 10:57:03 AM] Yara: Que te voy a decir buenos días a las 7 de la mañana
[7/14/24, 10:57:06 AM] Ismael: cómo amaneciste te amo mucho
[7/14/24, 10:57:11 AM] Yara: Ves como tú también puedes
[7/14/24, 10:57:13 AM] Yara: 👍
[7/14/24, 10:57:22 AM] Yara: Dormida
‎[7/14/24, 10:57:22 AM] Ismael: ‎sticker omitted
[7/14/24, 10:57:25 AM] Yara: Bye
[7/14/24, 10:57:38 AM] Ismael: Y yo?
[7/14/24, 10:57:39 AM] Ismael: Pregúntale
[7/14/24, 10:57:44 AM] Ismael: A Ismael
[7/14/24, 10:57:45 AM] Ismael: Ok
[7/14/24, 10:57:48 AM] Ismael: Te quieres ir
[7/14/24, 10:57:49 AM] Ismael: Bye
[7/14/24, 10:59:57 AM] Yara: Como amaneciste Jesús
[7/14/24, 11:00:11 AM] Ismael: Yo
[7/14/24, 11:00:12 AM] Ismael: Mal
[7/14/24, 11:00:21 AM] Ismael: Porque mis primos me despertaron para irse
‎[7/14/24, 11:00:37 AM] Ismael: ‎sticker omitted
[7/14/24, 11:00:43 AM] Ismael: y me decían
[7/14/24, 11:00:46 AM] Ismael: afuera está la yaraaa
[7/14/24, 11:00:47 AM] Yara: Cuando se fueron?
[7/14/24, 11:00:55 AM] Ismael: no se han ido
[7/14/24, 11:00:59 AM] Ismael: yo los voy a llevar
[7/14/24, 11:01:10 AM] Yara: si era verdad
[7/14/24, 11:01:21 AM] Ismael: 😮
[7/14/24, 11:01:23 AM] Ismael: Dónde estás
[7/14/24, 11:01:34 AM] Yara: Ya me fui
[7/14/24, 11:01:44 AM] Ismael: Ratatopilla
[7/14/24, 11:01:54 AM] Yara: Ji
[7/14/24, 11:02:04 AM] Ismael: Ji que
[7/14/24, 11:02:05 AM] Ismael: Cállese
‎[7/14/24, 11:02:10 AM] Yara: ‎sticker omitted
[7/14/24, 11:02:18 AM] Yara: Ya no aguanto más este maltrato
[7/14/24, 11:02:19 AM] Ismael: Quien va a ganar la Eurocopa yarailin
[7/14/24, 11:02:29 AM] Yara: Urugai
[7/14/24, 11:02:37 AM] Ismael: Nadie le está preguntando
[7/14/24, 11:02:45 AM] Ismael: Como Uruguay mi vida
‎[7/14/24, 11:02:51 AM] Ismael: ‎sticker omitted
‎[7/14/24, 11:02:52 AM] Yara: ‎sticker omitted
[7/14/24, 11:02:57 AM] Yara: Que tiene
‎[7/14/24, 11:03:01 AM] Yara: ‎sticker omitted
[7/14/24, 11:03:10 AM] Ismael: ps
[7/14/24, 11:03:20 AM] Ismael: es que la final es España Inglaterra yarilin
[7/14/24, 11:03:29 AM] Yara: JAJAJAJA
‎[7/14/24, 11:03:35 AM] Yara: ‎sticker omitted
[7/14/24, 11:03:37 AM] Yara: Ay
[7/14/24, 11:03:55 AM] Yara: Es que yo dije por qué ayer me lo mencionaste
[7/14/24, 11:03:59 AM] Ismael: Y Uruguay no está en Europa Amorilin
[7/14/24, 11:04:10 AM] Ismael: Uruguay juega la copa América y ya perdió
[7/14/24, 11:04:14 AM] Ismael: ay mi amorsin
[7/14/24, 11:04:15 AM] Yara: A
‎[7/14/24, 11:04:17 AM] Ismael: ‎sticker omitted
[7/14/24, 11:04:26 AM] Yara: Que yo nada más lo dije por decir
[7/14/24, 11:04:35 AM] Ismael: Nonono
[7/14/24, 11:04:39 AM] Yara: Me quedé con ese por qué me lo mencionaste ayer
[7/14/24, 11:04:44 AM] Yara: Déjame el paz
[7/14/24, 11:04:50 AM] Yara: Va a ganar España
[7/14/24, 11:04:56 AM] Ismael: Vamoooooos
[7/14/24, 11:05:00 AM] Ismael: Si
[7/14/24, 11:05:00 AM] Yara: Arriba España y Sainz
[7/14/24, 11:05:08 AM] Ismael: Si
‎[7/14/24, 11:05:14 AM] Yara: ‎sticker omitted
‎[7/14/24, 11:05:15 AM] Ismael: ‎sticker omitted
[7/14/24, 11:05:17 AM] Ismael: Oye
[7/14/24, 11:05:24 AM] Ismael: Cómo está que van a sacar a checo
[7/14/24, 11:05:28 AM] Yara: Mande
[7/14/24, 11:05:29 AM] Ismael: ya lo van a sacar por malo?
‎[7/14/24, 11:05:31 AM] Yara: ‎sticker omitted
[7/14/24, 11:05:38 AM] Yara: Por su carrito
[7/14/24, 11:05:48 AM] Yara: No lo van a sacar creo
[7/14/24, 11:05:50 AM] Yara: No se
‎[7/14/24, 11:05:54 AM] Yara: ‎sticker omitted
‎[7/14/24, 11:05:55 AM] Ismael: ‎sticker omitted
[7/14/24, 11:05:59 AM] Ismael: estaría bien
[7/14/24, 11:06:02 AM] Ismael: que haya nuevos
[7/14/24, 11:06:21 AM] Yara: A lando que saquen mejor
‎[7/14/24, 11:06:23 AM] Yara: ‎sticker omitted
[7/14/24, 11:06:44 AM] Yara: Soñé que sainz firmo para Mercedes
[7/14/24, 11:06:55 AM] Ismael: Que es eso yara
‎[7/14/24, 11:07:02 AM] Ismael: ‎sticker omitted
[7/14/24, 11:07:15 AM] Ismael: yo soñé que me electrificaba
[7/14/24, 11:07:15 AM] Yara: Qué es que
[7/14/24, 11:07:22 AM] Yara: Qué bueno
‎[7/14/24, 11:07:31 AM] Yara: ‎sticker omitted
[7/14/24, 11:07:37 AM] Ismael: Ok
[7/14/24, 11:07:50 AM] Yara: Ji ji ji
[7/14/24, 11:08:17 AM] Ismael: si me muero me voy a hacer fantasma y te voy a perseguir toda tu vida mai lob
‎[7/14/24, 11:08:20 AM] Ismael: ‎sticker omitted
[7/14/24, 11:08:46 AM] Yara: Y me vas a jalar los pies?
‎[7/14/24, 11:08:48 AM] Yara: ‎sticker omitted
[7/14/24, 11:08:55 AM] Yara: Si no mejor ni te mueras
[7/14/24, 11:08:58 AM] Ismael: Chi
[7/14/24, 11:09:02 AM] Ismael: Te voy a jalar todo
[7/14/24, 11:09:41 AM] Yara: JAJJAJA
[7/14/24, 11:09:44 AM] Yara: Okeeeeeeeeyyy
[7/14/24, 11:09:48 AM] Yara: Ya entendi
‎[7/14/24, 11:09:51 AM] Yara: ‎sticker omitted
‎[7/14/24, 11:10:31 AM] Ismael: ‎sticker omitted
[7/14/24, 11:14:41 AM] Yara: Te amo amor
[7/14/24, 11:14:44 AM] Yara: Mua
[7/14/24, 11:15:32 AM] Ismael: Yo más mi vida
[7/14/24, 11:15:36 AM] Ismael: Muuua
[7/14/24, 1:08:19 PM] Ismael: Gol de España yarilin
[7/14/24, 1:08:22 PM] Ismael: vamooooooos
‎[7/14/24, 1:12:11 PM] Yara: ‎sticker omitted
[7/14/24, 1:12:21 PM] Yara: Wujuuu
[7/14/24, 1:20:10 PM] Ismael: Norris estaba en la grada de Inglaterra
‎[7/14/24, 1:20:13 PM] Ismael: ‎sticker omitted
[7/14/24, 1:20:17 PM] Ismael: lo enfocaron
[7/14/24, 1:23:47 PM] Ismael: Que haces yara?
[7/14/24, 1:25:44 PM] Yara: Todo tonto
[7/14/24, 1:25:46 PM] Yara: Jugando
[7/14/24, 1:26:01 PM] Ismael: Que juegas
[7/14/24, 1:26:37 PM] Yara: Lo mismo de siempre
[7/14/24, 1:27:04 PM] Ismael: ps juegas mucho el juego rarito de niñas
[7/14/24, 1:27:07 PM] Ismael: o el fallout
‎[7/14/24, 1:27:09 PM] Ismael: ‎sticker omitted
[7/14/24, 1:27:14 PM] Ismael: Cuál
[7/14/24, 1:31:36 PM] Yara: JAJAJAJ OK
[7/14/24, 1:31:38 PM] Yara: ese
[7/14/24, 1:31:45 PM] Yara: El juego rarito de niñas
[7/14/24, 1:31:52 PM] Ismael: Gol de inglaterraaaaa
‎[7/14/24, 1:31:55 PM] Ismael: ‎sticker omitted
‎[7/14/24, 1:31:58 PM] Yara: ‎sticker omitted
[7/14/24, 1:32:08 PM] Ismael: estaba rarillo yarilin
‎[7/14/24, 1:32:10 PM] Ismael: ‎sticker omitted
[7/14/24, 1:45:37 PM] Ismael: Gol de españaaaaaaaa
‎[7/14/24, 1:45:47 PM] Ismael: ‎sticker omitted
[7/14/24, 1:45:47 PM] Ismael: ‎You deleted this message.
[7/14/24, 1:46:01 PM] Ismael: ese no
[7/14/24, 1:47:51 PM] Yara: Que mandaste
[7/14/24, 1:47:59 PM] Yara: Eso
‎[7/14/24, 1:48:04 PM] Yara: ‎sticker omitted
‎[7/14/24, 1:48:24 PM] Ismael: ‎image omitted
[7/14/24, 1:48:31 PM] Ismael: Eso
[7/14/24, 1:48:38 PM] Ismael: Sabía que me ibas a preguntar
[7/14/24, 1:48:46 PM] Ismael: Chi
[7/14/24, 1:48:47 PM] Ismael: Yara
[7/14/24, 1:48:51 PM] Yara: Que
[7/14/24, 1:48:53 PM] Ismael: Te amo mucho amor
[7/14/24, 1:49:02 PM] Ismael: Sabía que me
‎[7/14/24, 1:49:04 PM] Ismael: ‎sticker omitted
[7/14/24, 1:49:05 PM] Yara: Yo también
‎[7/14/24, 1:49:08 PM] Yara: ‎sticker omitted
‎[7/14/24, 1:49:18 PM] Ismael: ‎sticker omitted
‎[7/14/24, 2:15:21 PM] Ismael: ‎video omitted
[7/14/24, 2:15:25 PM] Ismael: Se parece a ti
[7/14/24, 2:27:05 PM] Ismael: Ok
[7/14/24, 2:27:30 PM] Yara: Acoso
[7/14/24, 2:27:32 PM] Yara: JAJAJ
[7/14/24, 2:27:35 PM] Yara: Que bonitoo
[7/14/24, 2:27:44 PM] Ismael: Así te duermes tú?
[7/14/24, 2:27:48 PM] Yara: Estaba en twitter
[7/14/24, 2:28:01 PM] Ismael: En qué?
[7/14/24, 2:28:03 PM] Ismael: en x
[7/14/24, 2:28:03 PM] Yara: Con el ojo cerrado si
[7/14/24, 2:28:09 PM] Yara: Chi
[7/14/24, 2:28:23 PM] Ismael: Oki
[7/14/24, 2:28:29 PM] Ismael: pues muy bien
[7/14/24, 5:05:25 PM] Ismael: Oye
[7/14/24, 5:05:27 PM] Ismael: Amorsin
[7/14/24, 5:05:30 PM] Ismael: Te acuerdas de mi?
[7/14/24, 5:05:35 PM] Ismael: Soy tu novio Ismaelin
[7/14/24, 5:05:40 PM] Ismael: No me mandas muchos mensajes
[7/14/24, 5:05:45 PM] Ismael: Pero me quieres mucho
[7/14/24, 5:05:48 PM] Ismael: Te acuerdas?
[7/14/24, 5:11:37 PM] Yara: Hola mi amor
[7/14/24, 5:11:40 PM] Yara: Te amo
[7/14/24, 5:11:42 PM] Yara: Que hacis
‎[7/14/24, 5:11:44 PM] Yara: ‎sticker omitted
[7/14/24, 5:11:54 PM] Ismael: Holi
[7/14/24, 5:11:55 PM] Ismael: nada
[7/14/24, 5:11:56 PM] Ismael: oye
[7/14/24, 5:12:01 PM] Ismael: te vengo a preguntar algo
[7/14/24, 5:12:05 PM] Ismael: que no se si te moleste
‎[7/14/24, 5:12:07 PM] Ismael: ‎sticker omitted
[7/14/24, 5:12:22 PM] Ismael: Yo más mi vidota
‎[7/14/24, 5:12:26 PM] Ismael: ‎sticker omitted
[7/14/24, 5:22:02 PM] Yara: Dime
‎[7/14/24, 5:25:14 PM] Yara: ‎sticker omitted
[7/14/24, 5:27:19 PM] Ismael: es que
[7/14/24, 5:27:30 PM] Ismael: tooda mi familia va a ir al cine
[7/14/24, 5:27:31 PM] Ismael: y está bien
[7/14/24, 5:27:41 PM] Ismael: pero no se si si porque van a ver mi villano favorito
[7/14/24, 5:27:51 PM] Ismael: y no se si te moleste si vaya con ellos
‎[7/14/24, 5:27:53 PM] Ismael: ‎sticker omitted
[7/14/24, 5:32:33 PM] Yara: Nooooo
[7/14/24, 5:32:37 PM] Yara: Obvio no ismaelin
[7/14/24, 5:44:14 PM] Ismael: Mmmmmm
[7/14/24, 5:44:15 PM] Ismael: bueno
[7/14/24, 5:44:21 PM] Ismael: y luego vamos juntos va?
[7/14/24, 5:53:40 PM] Yara: Sisisis
